year,exam,grade_bucket,human_pct,human_mean_source,pooled_ensemble_pct,students,item_count,multimodal_share,associated_image_share,option_image_share,model_pct__anthropic-claude-sonnet-4.5,model_pct__openai-gpt-5,model_pct__qwen-qwen3-vl-235b-a22b-thinking,model_pct__x-ai-grok-4-fast,model_pct__ensemble
2015,3-4,Grade 3-4,41.90590130896963,reported,78.33333333333333,258855,24,0.5416666666666666,0.5416666666666666,0.20833333333333334,69.79166666666667,87.29166666666667,79.16666666666667,77.08333333333333,78.33333333333333
2016,3-4,Grade 3-4,46.49061393029387,reported,69.94791666666667,256142,24,0.625,0.625,0.20833333333333334,61.458333333333336,72.91666666666667,76.04166666666667,69.375,69.94791666666667
2017,3-4,Grade 3-4,47.846390129767116,reported,74.375,284073,24,0.5833333333333334,0.5833333333333334,0.25,71.875,94.375,68.75,62.5,74.375
2018,3-4,Grade 3-4,46.74833228079505,reported,65.46875,300860,24,0.6666666666666666,0.625,0.20833333333333334,62.5,69.16666666666667,66.66666666666667,63.541666666666664,65.46875
2019,3-4,Grade 3-4,51.38290934027798,reported,73.38541666666667,321782,24,0.75,0.75,0.25,79.16666666666667,75.0,73.95833333333333,65.41666666666667,73.38541666666667
2022,3-4,Grade 3-4,38.59946680391148,reported,78.07291666666667,242875,24,0.7083333333333334,0.6666666666666666,0.25,76.04166666666667,77.5,79.16666666666667,79.58333333333333,78.07291666666667
2023,3-4,Grade 3-4,40.29339788817592,reported,79.0625,309969,24,0.7916666666666666,0.7083333333333334,0.2916666666666667,81.25,88.54166666666667,83.33333333333333,63.125,79.0625
2024,3-4,Grade 3-4,41.006105205523774,reported,67.23958333333333,321447,24,0.9166666666666666,0.875,0.25,73.95833333333333,75.0,80.20833333333333,39.791666666666664,67.23958333333333
2025,3-4,Grade 3-4,53.24498798938968,reported,61.354166666666664,351356,24,0.875,0.7916666666666666,0.4583333333333333,54.166666666666664,82.29166666666667,63.541666666666664,45.416666666666664,61.354166666666664
2001,5-6,Grade 5-6,37.18401467929518,histogram,80.83333333333333,37059,30,0.3333333333333333,0.26666666666666666,0.1,81.66666666666667,82.5,85.0,74.16666666666667,80.83333333333333
2002,5-6,Grade 5-6,41.189982039221185,histogram,86.375,56976,30,0.3333333333333333,0.26666666666666666,0.13333333333333333,80.83333333333333,94.83333333333333,91.66666666666667,78.16666666666667,86.375
2003,5-6,Grade 5-6,38.70162185898796,histogram,80.79166666666667,80083,30,0.36666666666666664,0.36666666666666664,0.1,80.83333333333333,85.5,75.0,81.83333333333333,80.79166666666667
2004,5-6,Grade 5-6,35.01559670458232,histogram,82.08333333333333,101717,30,0.43333333333333335,0.43333333333333335,0.16666666666666666,71.66666666666667,90.0,86.66666666666667,80.0,82.08333333333333
2005,5-6,Grade 5-6,41.43633944095574,histogram,87.0,127873,30,0.4666666666666667,0.4666666666666667,0.06666666666666667,87.5,86.5,92.5,81.5,87.0
2006,5-6,Grade 5-6,40.785274581600525,histogram,85.20833333333333,164954,30,0.4666666666666667,0.4666666666666667,0.06666666666666667,85.0,88.33333333333333,95.83333333333333,71.66666666666667,85.20833333333333
2007,5-6,Grade 5-6,39.888604099736234,histogram,84.0,206371,30,0.36666666666666664,0.36666666666666664,0.06666666666666667,86.66666666666667,88.33333333333333,82.5,78.5,84.0
2008,5-6,Grade 5-6,45.46738996240758,histogram,83.625,288356,30,0.5666666666666667,0.5,0.16666666666666666,76.66666666666667,85.66666666666667,88.33333333333333,83.83333333333333,83.625
2009,5-6,Grade 5-6,34.22473339517645,histogram,86.625,311541,30,0.4666666666666667,0.4666666666666667,0.0,82.5,90.0,87.5,86.5,86.625
2010,5-6,Grade 5-6,45.9882178804484,histogram,67.86458333333333,323191,24,0.6666666666666666,0.625,0.20833333333333334,62.5,71.875,70.83333333333333,66.25,67.86458333333333
2011,5-6,Grade 5-6,38.25373515212316,histogram,76.30208333333333,346879,24,0.4583333333333333,0.4166666666666667,0.16666666666666666,64.58333333333333,80.20833333333333,82.29166666666667,78.125,76.30208333333333
2012,5-6,Grade 5-6,48.07749541051176,histogram,78.28125,319934,24,0.5833333333333334,0.4583333333333333,0.25,63.541666666666664,88.125,83.33333333333333,78.125,78.28125
2013,5-6,Grade 5-6,41.5913869527604,reported,86.35416666666667,345621,24,0.5416666666666666,0.5416666666666666,0.08333333333333333,83.33333333333333,94.79166666666667,86.45833333333333,80.83333333333333,86.35416666666667
2014,5-6,Grade 5-6,38.65281225704146,reported,82.5,346424,24,0.5,0.4583333333333333,0.16666666666666666,70.83333333333333,88.54166666666667,89.58333333333333,81.04166666666667,82.5
2015,5-6,Grade 5-6,45.23742896153975,reported,75.57291666666667,340074,24,0.5416666666666666,0.5,0.08333333333333333,66.66666666666667,89.58333333333333,76.04166666666667,70.0,75.57291666666667
2016,5-6,Grade 5-6,47.6135436729053,reported,65.05208333333333,340085,24,0.5833333333333334,0.5416666666666666,0.3333333333333333,65.625,64.79166666666667,67.70833333333333,62.083333333333336,65.05208333333333
