outcome,outcome_label,sd_total,sd_within_grade,r2_grade,r2_grade_visual,r2_grade_location,visual_r2_increment,visual_r2_increment_ci_low,visual_r2_increment_ci_high,effect_per_10pp_visual_share,effect_per_10pp_visual_share_ci_low,effect_per_10pp_visual_share_ci_high,effect_per_10pp_visual_share_year_fe,effect_per_10pp_visual_share_year_fe_ci_low,effect_per_10pp_visual_share_year_fe_ci_high,effect_per_10pp_visual_share_trend,effect_per_10pp_visual_share_trend_ci_low,effect_per_10pp_visual_share_trend_ci_high,bootstrap_samples
human_pct,Cohort,4.741914349753403,4.3026436568607815,0.17669007980741547,0.3047801471076059,0.4324184128917039,0.12809006730019046,0.009460362787294636,0.3172503753410905,1.350926400222436,0.36213250619492743,2.5256284110068545,0.38096443048072354,-0.648784699183825,1.400564924929534,-0.19296401900278307,-1.3231228482537896,0.9174465184586071,2000
model_pct__openai-gpt-5,GPT-5,7.743897399114248,6.166742997312189,0.36584923875162134,0.44203446645015443,0.44768506268077424,0.07618522769853309,0.022655422648234596,0.16707922533738306,-1.7014344886128994,-2.8677576118777797,-0.9458070750174354,-1.391477568375286,-2.7711906533082686,0.12491955689819041,-1.4161528648744182,-2.929041165421101,0.030974721603249246,2000
model_pct__qwen-qwen3-vl-235b-a22b-thinking,Qwen3-VL,8.583123011167716,7.210739326933819,0.2942206977060794,0.4140800106218633,0.44886511109298355,0.11985931291578389,0.056491154238058346,0.20803583332835102,-2.3653830768124875,-3.3804610638836943,-1.641705253407289,-1.0837789681547887,-2.697365590868842,0.5981739076683291,-1.0778186334225663,-2.4730088598161526,0.17074202487582826,2000
model_pct__x-ai-grok-4-fast,Grok 4 Fast,10.108317971734492,7.648456010705452,0.42748119407960317,0.6594432431649289,0.6839663410814757,0.2319620490853257,0.12083035124142372,0.31793090141234526,-3.8753204465885847,-4.905112055521145,-2.7270003320884255,-3.9688648135569715,-6.083359593338072,-1.8540541597578581,-4.078137139094717,-5.772176376889754,-2.3267403461998657,2000
model_pct__anthropic-claude-sonnet-4.5,Claude Sonnet 4.5,8.886050119421908,8.646597223681187,0.05316796938926438,0.2526623662595431,0.32197834519541435,0.1994943968702787,0.10399784096738737,0.2944562943478733,-3.1593254519503624,-4.433531858157425,-2.2595176938364405,-2.459837951495539,-5.0856054309923255,0.44887591005969923,-1.569131720818476,-3.690619839809996,0.6597085253943238,2000
model_pct__ensemble,Equal-weight ensemble,7.329156101375097,5.870144446537714,0.35851038101038724,0.5848142758919275,0.629173946770429,0.22630389488154024,0.14863684961839346,0.29796153680339177,-2.7753658659910796,-3.4381335246081153,-2.3224133905997304,-2.225989825395644,-3.469286613764048,-0.7819627685541445,-2.035310089552544,-3.024391840045126,-0.8943553814298477,2000
