grade_bucket,comparisons,pearson_r,year_detrended_pearson_r,ci_low,ci_high,bootstrap_samples
Grade 3-4,23,-0.3992867338111469,-0.3444359561920942,-0.7260670081239705,0.07027196022666098,2000
Grade 5-6,23,-0.3152246828582077,-0.09142862931804698,-0.672449908666477,0.116735089628344,2000
Grade 7-8,23,-0.5757857906631676,-0.4666162946159798,-0.8335294210529874,-0.06809552867677438,2000
Grade 9-10,23,-0.3155726647654631,-0.11611804291008865,-0.6319235431520832,0.06405553238956509,2000
Grade 11-13,23,-0.32131786183066846,0.2755074606847022,-0.6721694917709834,0.05841067798117738,2000
