series,comparisons,pearson_r,pearson_ci_low,pearson_ci_high,spearman_rho,spearman_ci_low,spearman_ci_high,bootstrap_samples
GPT-5,115,-0.42849858697223775,-0.5838465172715719,-0.24062702722248575,-0.3994096005239563,-0.5906725758094684,-0.18026035708228005,2000
Qwen3-VL,115,-0.4014161279384103,-0.5656788168945189,-0.19628685061689546,-0.4062464774181938,-0.5544467454274947,-0.21240208322310755,2000
Grok 4 Fast,115,-0.45439869737141736,-0.6675204833179397,-0.21655594473977413,-0.42205711866927625,-0.6020280633700366,-0.22736880483303631,2000
Claude Sonnet 4.5,115,-0.33978764497227687,-0.505326559964618,-0.13538401210678452,-0.3086143152040722,-0.4638689086427255,-0.10729888154005925,2000
Equal-weight ensemble,115,-0.49037806881338686,-0.6396986067276024,-0.2879221454636073,-0.4567138210082801,-0.6109466827357357,-0.255000761069344,2000
