year,exam,grade_bucket,ensemble_pct,reference_pct,model_count,pooled_ensemble_pct,possible_points,lomo_pct__anthropic-claude-sonnet-4.5,lomo_pct__openai-gpt-5,lomo_pct__qwen-qwen3-vl-235b-a22b-thinking,lomo_pct__x-ai-grok-4-fast,human_score,human_max,human_pct,students,human_grades_used,human_mean_source,human_difficulty,ensemble_difficulty,reference_difficulty,lomo_difficulty__anthropic-claude-sonnet-4.5,lomo_difficulty__openai-gpt-5,lomo_difficulty__qwen-qwen3-vl-235b-a22b-thinking,lomo_difficulty__x-ai-grok-4-fast,opposite_difficulty_sign,item_count,multimodal_share,associated_image_share,option_image_share,three_point_share,five_point_share,year_per_decade
2018,3-4,Grade 3-4,65.46875000000001,69.16666666666667,4,65.46875,120.0,66.45833333333333,64.23611111111111,65.06944444444444,66.11111111111113,56.09799873695406,120.0,46.74833228079505,300860,"3,4",reported,-0.5184779331233921,1.6184794886783294,1.750905739574997,1.579669476131851,1.35479163784529,1.4760307046242462,1.8875676588973451,True,24,0.6666666666666666,0.625,0.20833333333333334,0.3333333333333333,0.3333333333333333,0.5652173913043498
2019,3-4,Grade 3-4,73.38541666666667,75.0,4,73.38541666666667,120.0,71.45833333333333,72.84722222222223,73.19444444444446,76.04166666666667,61.659491208333584,120.0,51.38290934027798,321782,"3,4",reported,-1.5829587125253417,0.4896445912252535,0.9298214709799618,0.8414799829721149,0.2930400378632139,0.38597737091165846,0.4131335742534706,True,24,0.75,0.75,0.25,0.3333333333333333,0.3333333333333333,0.6652173913043498
2022,3-4,Grade 3-4,78.07291666666667,77.5,4,78.07291666666667,120.0,78.75,78.2638888888889,77.70833333333333,77.56944444444446,46.31936016469378,120.0,38.59946680391148,242875,"3,4",reported,1.353173042304001,-0.1787444927930158,0.5779282130106609,-0.23504636121916755,-0.3748359685771246,-0.2196078144842202,0.18629756123133456,True,24,0.7083333333333334,0.6666666666666666,0.25,0.3333333333333333,0.3333333333333333,0.9652173913043498
2023,3-4,Grade 3-4,79.0625,88.54166666666667,4,79.0625,120.0,78.33333333333333,75.90277777777777,77.6388888888889,84.375,48.3520774658111,120.0,40.29339788817592,309969,"3,4",reported,0.9641068863876794,-0.31984885497464977,-0.9762670096870859,-0.17353057012252218,-0.08371052987235977,-0.2102911193242857,-0.8241537695036277,True,24,0.7916666666666666,0.7083333333333334,0.2916666666666667,0.3333333333333333,0.3333333333333333,1.06521739130435
2024,3-4,Grade 3-4,67.23958333333333,75.0,4,67.23958333333333,120.0,64.99999999999999,64.65277777777777,62.91666666666666,76.38888888888887,49.207326246628526,120.0,41.006105205523774,321447,"3,4",reported,0.8004105596422654,1.3659769458269857,0.9298214709799618,1.7949747449701088,1.3034165604268035,1.7648482545822828,0.3615799349302614,False,24,0.9166666666666666,0.875,0.25,0.3333333333333333,0.3333333333333333,1.1652173913043498
2025,3-4,Grade 3-4,61.354166666666664,82.29166666666667,4,61.354166666666664,120.0,63.75,54.375,60.625,66.66666666666667,63.893985587267615,120.0,53.24498798938968,351356,"3,4",reported,-2.010645404595424,2.2051765735388122,-0.09653386476383338,1.9795221182600407,2.5706684700828286,2.0722991948601903,1.805081835980207,True,24,0.875,0.7916666666666666,0.4583333333333333,0.3333333333333333,0.3333333333333333,1.2652173913043498
2001,5-6,Grade 5-6,80.83333333333334,82.5,4,80.83333333333333,150.0,80.55555555555556,80.27777777777779,79.44444444444446,83.05555555555556,55.77602201894277,150.0,37.18401467929518,37059,5-6,histogram,1.0587218804849148,-0.4440755259679868,0.1978602824840003,-0.16235050293084588,-0.6217246799764167,-0.41273181069946924,-0.5432146420378495,True,30,0.3333333333333333,0.26666666666666666,0.1,0.3333333333333333,0.3333333333333333,-1.1347826086956503
2002,5-6,Grade 5-6,86.375,94.83333333333333,4,86.375,150.0,88.22222222222223,83.55555555555556,84.6111111111111,89.1111111111111,61.784973058831774,150.0,41.189982039221185,56976,5-6,histogram,0.14604939364300204,-1.2200978247032463,-1.4754723922378192,-1.1792237072771694,-1.0539933571778988,-1.156640252314099,-1.3910522187468826,True,30,0.3333333333333333,0.26666666666666666,0.13333333333333333,0.3333333333333333,0.3333333333333333,-1.0347826086956502
2003,5-6,Grade 5-6,80.79166666666666,85.5,4,80.79166666666667,150.0,80.77777777777777,79.22222222222221,82.72222222222221,80.44444444444444,58.052432788481944,150.0,38.70162185898796,80083,5-6,histogram,0.7129681100984938,-0.4382407718421551,-0.20916658434022625,-0.19182508856407157,-0.4825195127420388,-0.8846737252721907,-0.17763330162202673,True,30,0.36666666666666664,0.36666666666666664,0.1,0.3333333333333333,0.3333333333333333,-0.9347826086956502
2004,5-6,Grade 5-6,82.08333333333334,90.0,4,82.08333333333333,150.0,85.55555555555556,79.44444444444444,80.55555555555556,82.77777777777779,52.52339505687348,150.0,35.01559670458232,101717,5-6,histogram,1.5527487278555447,-0.6191181497428576,-0.819706884576566,-0.8255286796784478,-0.5118258637387503,-0.5727121207241199,-0.5043230100787204,True,30,0.43333333333333335,0.43333333333333335,0.16666666666666666,0.3333333333333333,0.3333333333333333,-0.8347826086956502
