grade_bucket,series,correlation,correlation_ci_low,correlation_ci_high,same_side_rate,intercept,slope,r2
Grade 3-4,gpt5,-0.1683967770513125,-0.5544705494722497,0.22751293143003745,0.43478260869565216,-1.1640121088221942e-15,-0.1683967770513125,0.028357474521269355
Grade 3-4,ensemble_equal,-0.39928673381114693,-0.7227545098292758,0.05755917797599524,0.34782608695652173,-1.1640121088221942e-15,-0.3992867338111469,0.1594298957975736
Grade 5-6,gpt5,-0.21005608621993951,-0.5470362967850683,0.23112302196120793,0.391304347826087,-1.5657191931210083e-15,-0.21005608621993954,0.04412355935803847
Grade 5-6,ensemble_equal,-0.31522468285820804,-0.6842136363251617,0.09383157034452155,0.30434782608695654,-1.5657191931210083e-15,-0.3152246828582078,0.0993666006830577
Grade 7-8,gpt5,-0.2782583870211049,-0.6209034743149641,0.14413086720220328,0.391304347826087,-3.333185536378025e-16,-0.278258387021105,0.07742772994758707
Grade 7-8,ensemble_equal,-0.5757857906631684,-0.8198162838284827,-0.060273694482405854,0.391304347826087,-3.333185536378025e-16,-0.5757857906631683,0.33152927672960997
Grade 9-10,gpt5,-0.3257803513696701,-0.6013013210111641,0.057660819338640354,0.391304347826087,8.918028677949463e-16,-0.3257803513696702,0.10613283733854584
Grade 9-10,ensemble_equal,-0.31557266476546303,-0.6283413657717777,0.052336748481290996,0.391304347826087,8.918028677949463e-16,-0.31557266476546303,0.09958610674717538
Grade 11-13,gpt5,-0.43027394702064103,-0.7285524499495911,-0.011355486094465954,0.43478260869565216,6.358248513291894e-17,-0.4302739470206409,0.18513566948472138
Grade 11-13,ensemble_equal,-0.3213178618306686,-0.7014331990603098,0.05637625856132853,0.391304347826087,6.358248513291894e-17,-0.3213178618306687,0.10324516833143271
